NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_CYTOKINE_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_CYTOKINE_PRODUCTION		24	-0.42838964	-1.0992428	0.34536082	0.55710804	1.0	1534	tags=21%, list=8%, signal=23%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL	GOBP_NEGATIVE_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL		22	-0.4395206	-1.099108	0.35198557	0.55717075	1.0	264	tags=9%, list=1%, signal=9%	
GOCC_FILOPODIUM_MEMBRANE	GOCC_FILOPODIUM_MEMBRANE		18	-0.45810512	-1.0990087	0.3374126	0.5571323	1.0	3250	tags=33%, list=17%, signal=40%	
GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY		34	-0.40097737	-1.0982348	0.3251634	0.5589243	1.0	1691	tags=21%, list=9%, signal=23%	
GOBP_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY	GOBP_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY		39	-0.38500494	-1.0982245	0.34517765	0.558658	1.0	2469	tags=23%, list=13%, signal=26%	
GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT		430	-0.28740954	-1.0975146	0.21376811	0.56032103	1.0	1863	tags=12%, list=10%, signal=13%	
GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION		482	-0.28503615	-1.0973183	0.20722891	0.5605673	1.0	3368	tags=22%, list=17%, signal=26%	
GOMF_POTASSIUM_CHANNEL_REGULATOR_ACTIVITY	GOMF_POTASSIUM_CHANNEL_REGULATOR_ACTIVITY		47	-0.37730867	-1.0966619	0.31270358	0.5620502	1.0	2187	tags=19%, list=11%, signal=22%	
GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE	GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE		141	-0.31680742	-1.0966617	0.2747093	0.5617535	1.0	4042	tags=30%, list=21%, signal=37%	
GOBP_DECIDUALIZATION	GOBP_DECIDUALIZATION		25	-0.42578042	-1.0965744	0.3285968	0.56169206	1.0	2998	tags=44%, list=15%, signal=52%	
GOMF_ACID_THIOL_LIGASE_ACTIVITY	GOMF_ACID_THIOL_LIGASE_ACTIVITY		31	-0.40962234	-1.09656	0.34276205	0.5614368	1.0	764	tags=13%, list=4%, signal=13%	
GOBP_CD40_SIGNALING_PATHWAY	GOBP_CD40_SIGNALING_PATHWAY		15	-0.46533138	-1.0960623	0.33810377	0.5624856	1.0	6108	tags=73%, list=31%, signal=107%	
GOBP_IMMUNE_SYSTEM_DEVELOPMENT	GOBP_IMMUNE_SYSTEM_DEVELOPMENT		187	-0.30643475	-1.095742	0.26002768	0.56305134	1.0	2993	tags=20%, list=15%, signal=23%	
GOMF_SOLUTE_MONOATOMIC_CATION_SYMPORTER_ACTIVITY	GOMF_SOLUTE_MONOATOMIC_CATION_SYMPORTER_ACTIVITY		117	-0.32691944	-1.0957394	0.28111273	0.5627587	1.0	3277	tags=21%, list=17%, signal=25%	
GOBP_NEGATIVE_REGULATION_OF_CHEMOKINE_PRODUCTION	GOBP_NEGATIVE_REGULATION_OF_CHEMOKINE_PRODUCTION		21	-0.43772832	-1.0954878	0.34819898	0.5631109	1.0	1208	tags=19%, list=6%, signal=20%	
GOBP_POSITIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	GOBP_POSITIVE_REGULATION_OF_STEM_CELL_PROLIFERATION		46	-0.37217656	-1.0950278	0.31046313	0.56408525	1.0	1790	tags=17%, list=9%, signal=19%	
GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION	GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION		29	-0.40661782	-1.0947983	0.31841654	0.56439596	1.0	4273	tags=45%, list=22%, signal=57%	
GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS	GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS		251	-0.29974914	-1.0946196	0.2344371	0.56456906	1.0	2699	tags=18%, list=14%, signal=21%	
GOMF_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		151	-0.31823483	-1.0939139	0.2813793	0.56619173	1.0	1016	tags=10%, list=5%, signal=10%	
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY		136	-0.31881464	-1.0937583	0.27034885	0.5663297	1.0	3274	tags=23%, list=17%, signal=27%	
GOBP_LIPOPROTEIN_LOCALIZATION	GOBP_LIPOPROTEIN_LOCALIZATION		20	-0.44226038	-1.0923376	0.34829444	0.5699148	1.0	4448	tags=35%, list=23%, signal=45%	
GOBP_REGULATION_OF_LIPID_STORAGE	GOBP_REGULATION_OF_LIPID_STORAGE		49	-0.37656784	-1.0922552	0.32504147	0.5698424	1.0	2907	tags=35%, list=15%, signal=41%	
GOCC_PIGMENT_GRANULE	GOCC_PIGMENT_GRANULE		111	-0.32528389	-1.090992	0.28023598	0.5729111	1.0	2574	tags=16%, list=13%, signal=19%	
GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT		133	-0.3203027	-1.0908157	0.29569092	0.5730619	1.0	2503	tags=17%, list=13%, signal=20%	
GOBP_HORMONE_METABOLIC_PROCESS	GOBP_HORMONE_METABOLIC_PROCESS		238	-0.29730457	-1.0907935	0.27310926	0.5728172	1.0	2582	tags=18%, list=13%, signal=21%	
GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY	GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY		26	-0.41570348	-1.0903847	0.33777037	0.5736444	1.0	3344	tags=38%, list=17%, signal=46%	
GOBP_REGULATION_OF_BINDING	GOBP_REGULATION_OF_BINDING		216	-0.2986119	-1.0902634	0.246996	0.57366985	1.0	3349	tags=21%, list=17%, signal=25%	
GOBP_FOREBRAIN_NEURON_DEVELOPMENT	GOBP_FOREBRAIN_NEURON_DEVELOPMENT		23	-0.43299246	-1.0900502	0.3317152	0.57392406	1.0	2327	tags=17%, list=12%, signal=20%	
GOBP_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS	GOBP_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS		51	-0.37359524	-1.0898498	0.32305196	0.5741626	1.0	2289	tags=16%, list=12%, signal=18%	
GOBP_REGULATION_OF_MEIOTIC_CELL_CYCLE	GOBP_REGULATION_OF_MEIOTIC_CELL_CYCLE		62	-0.3539691	-1.089712	0.31895223	0.57422656	1.0	4048	tags=32%, list=21%, signal=41%	
GOBP_MYELOID_CELL_HOMEOSTASIS	GOBP_MYELOID_CELL_HOMEOSTASIS		170	-0.30922896	-1.0894735	0.26676178	0.5745556	1.0	3956	tags=29%, list=20%, signal=37%	
GOBP_STARTLE_RESPONSE	GOBP_STARTLE_RESPONSE		25	-0.41571426	-1.0893549	0.32418525	0.57459104	1.0	878	tags=12%, list=5%, signal=13%	
GOMF_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY	GOMF_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY		42	-0.3818574	-1.0892795	0.32998326	0.57449156	1.0	3732	tags=33%, list=19%, signal=41%	
GOBP_REGULATION_OF_SPINDLE_ORGANIZATION	GOBP_REGULATION_OF_SPINDLE_ORGANIZATION		45	-0.37960628	-1.089084	0.3366174	0.5747142	1.0	2988	tags=22%, list=15%, signal=26%	
GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION	GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION		230	-0.29645044	-1.0888984	0.24497992	0.5749147	1.0	3796	tags=22%, list=20%, signal=27%	
GOBP_AROMATIC_AMINO_ACID_METABOLIC_PROCESS	GOBP_AROMATIC_AMINO_ACID_METABOLIC_PROCESS		32	-0.40562963	-1.0887696	0.33623692	0.57494354	1.0	682	tags=13%, list=4%, signal=13%	
GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY		214	-0.3030624	-1.0886781	0.2715054	0.5748802	1.0	3233	tags=24%, list=17%, signal=29%	
GOCC_TRANS_GOLGI_NETWORK_MEMBRANE	GOCC_TRANS_GOLGI_NETWORK_MEMBRANE		101	-0.32942334	-1.0880704	0.28614008	0.57619613	1.0	2008	tags=13%, list=10%, signal=14%	
GOBP_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	GOBP_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION		71	-0.3470923	-1.0878757	0.30015796	0.57641417	1.0	3755	tags=31%, list=19%, signal=38%	
