Symbol,Description,Category?¡ø?,UniProt ID,GIFtS,GC id,Score,8.409
NPIPB8,Nuclear Pore Complex Interacting Protein Family Member B8,Protein Coding,E9PQR5,26,GC16P120876,0.97,
WDR18,WD Repeat Domain 18,Protein Coding,Q9BV38,46,GC19P151375,0.97,
PPM1J,"Protein Phosphatase, Mg2+/Mn2+ Dependent 1J",Protein Coding,Q5JR12,42,GC01M112709,0.97,
SIX3,SIX Homeobox 3,Protein Coding,O95343,54,GC02P044941,0.97,
TP53RK,TP53 Regulating Kinase,Protein Coding,Q96S44,53,GC20M046684,0.97,
OSBPL2,Oxysterol Binding Protein Like 2,Protein Coding,Q9H1P3,50,GC20P062231,0.97,
CCNT1,Cyclin T1,Protein Coding,O60563,51,GC12M048688,0.97,
SLC35B2,Solute Carrier Family 35 Member B2,Protein Coding,Q8TB61,50,GC06M044254,0.96,
POLR1B,RNA Polymerase I Subunit B,Protein Coding,Q9H9Y6,51,GC02P154100,0.96,
CTNNBL1,Catenin Beta Like 1,Protein Coding,Q8WYA6,50,GC20P053374,0.96,
AMOTL2,Angiomotin Like 2,Protein Coding,Q9Y2J4,42,GC03M134355,0.96,
SULT1A2,Sulfotransferase Family 1A Member 2,Protein Coding,P50226,52,GC16M028591,0.96,
FFAR1,Free Fatty Acid Receptor 1,Protein Coding,O14842,51,GC19P153609,0.96,
MICOS10,Mitochondrial Contact Site And Cristae Organizing System Subunit 10,Protein Coding,Q5TGZ0,41,GC01P075978,0.96,
MIR544A,MicroRNA 544a,RNA Gene (miRNA),,17,GC14P121389,0.96,
FARSB,Phenylalanyl-TRNA Synthetase Subunit Beta,Protein Coding,Q9NSD9,57,GC02M222570,0.96,
DDX25,DEAD-Box Helicase 25,Protein Coding,Q9UHL0,49,GC11P125903,0.96,
FOXRED2,FAD Dependent Oxidoreductase Domain Containing 2,Protein Coding,Q8IWF2,40,GC22M036487,0.96,
DIRAS3,DIRAS Family GTPase 3,Protein Coding,O95661,42,GC01M068045,0.96,
NBPF6,NBPF Member 6,Protein Coding,Q5VWK0,38,GC01P111718,0.96,
PRRC2B,Proline Rich Coiled-Coil 2B,Protein Coding,Q5JSZ5,41,GC09P131373,0.96,
SGK2,Serum/Glucocorticoid Regulated Kinase 2,Protein Coding,Q9HBY8,54,GC20P043558,0.96,
SPRR2A,Small Proline Rich Protein 2A,Protein Coding,P35326,41,GC01M167341,0.96,
SSTR1,Somatostatin Receptor 1,Protein Coding,P30872,56,GC14P038207,0.96,
SLC25A30,Solute Carrier Family 25 Member 30,Protein Coding,Q5SVS4,40,GC13M045393,0.96,
OR52L1,Olfactory Receptor Family 52 Subfamily L Member 1,Protein Coding,Q8NGH7,39,GC11M015283,0.96,
MIR541,MicroRNA 541,RNA Gene (miRNA),,27,GC14P121388,0.96,
PLPP3,Phospholipid Phosphatase 3,Protein Coding,O14495,51,GC01M056495,0.96,
DDT,D-Dopachrome Tautomerase,Protein Coding,P30046,47,GC22M085846,0.96,
AFF4,ALF Transcription Elongation Factor 4,Protein Coding,Q9UHB7,52,GC05M132875,0.96,
PSMB10,Proteasome 20S Subunit Beta 10,Protein Coding,P40306,57,GC16M067937,0.96,
ZNF568,Zinc Finger Protein 568,Protein Coding,Q3ZCX4,40,GC19P036916,0.96,
CD248,CD248 Molecule,Protein Coding,Q9HCU0,48,GC11M066314,0.96,
BFSP2,Beaded Filament Structural Protein 2,Protein Coding,Q13515,51,GC03P143233,0.96,
TAF5,TATA-Box Binding Protein Associated Factor 5,Protein Coding,Q15542,47,GC10P124584,0.96,
HECTD1,HECT Domain E3 Ubiquitin Protein Ligase 1,Protein Coding,Q9ULT8,42,GC14M031100,0.95,
SPINT2,"Serine Peptidase Inhibitor, Kunitz Type 2",Protein Coding,O43291,55,GC19P038244,0.95,
CENPV,Centromere Protein V,Protein Coding,Q7Z7K6,42,GC17M016342,0.95,
PRIM1,DNA Primase Subunit 1,Protein Coding,P49642,55,GC12M060424,0.95,
KIF4A,Kinesin Family Member 4A,Protein Coding,O95239,52,GC0XP070290,0.95,
ABCF3,ATP Binding Cassette Subfamily F Member 3,Protein Coding,Q9NUQ8,48,GC03P184186,0.95,
TMOD2,Tropomodulin 2,Protein Coding,Q9NZR1,51,GC15P051751,0.95,
MUC3A,"Mucin 3A, Cell Surface Associated",Protein Coding,Q02505,46,GC07P100949,0.95,
MIOS,Meiosis Regulator For Oocyte Development,Protein Coding,Q9NXC5,47,GC07P019099,0.95,
DNAJA4,DnaJ Heat Shock Protein Family (Hsp40) Member A4,Protein Coding,Q8WW22,41,GC15P078264,0.95,
GPS1,G Protein Pathway Suppressor 1,Protein Coding,Q13098,48,GC17P082050,0.95,
EID1,EP300 Interacting Inhibitor Of Differentiation 1,Protein Coding,Q9Y6B2,37,GC15P193052,0.95,
MIR4458,MicroRNA 4458,RNA Gene (miRNA),,11,GC05P008460,0.95,
ELOVL2,ELOVL Fatty Acid Elongase 2,Protein Coding,Q9NXB9,50,GC06M010980,0.95,
PTGR3,Prostaglandin Reductase 3,Protein Coding,Q8N4Q0,44,GC18M075196,0.95,
MIR296,MicroRNA 296,RNA Gene (miRNA),,25,GC20M058817,0.95,
DNAJC15,DnaJ Heat Shock Protein Family (Hsp40) Member C15,Protein Coding,Q9Y5T4,46,GC13P043023,0.95,
TBX21,T-Box Transcription Factor 21,Protein Coding,Q9UL17,59,GC17P047733,0.95,
DNMBP,Dynamin Binding Protein,Protein Coding,Q6XZF7,53,GC10M099875,0.95,
MIR522,MicroRNA 522,RNA Gene (miRNA),,21,GC19P053751,0.95,
CC2D1A,Coiled-Coil And C2 Domain Containing 1A,Protein Coding,Q6P1N0,55,GC19P151982,0.95,
CNOT3,CCR4-NOT Transcription Complex Subunit 3,Protein Coding,O75175,54,GC19P153091,0.95,
FOXD3,Forkhead Box D3,Protein Coding,Q9UJU5,51,GC01P078762,0.95,
ARID4A,AT-Rich Interaction Domain 4A,Protein Coding,P29374,50,GC14P058298,0.95,
RNF111,Ring Finger Protein 111,Protein Coding,Q6ZNA4,44,GC15P193275,0.95,
MIR5090,MicroRNA 5090,RNA Gene (miRNA),,14,GC07P102465,0.95,
SAP30L,SAP30 Like,Protein Coding,Q9HAJ7,47,GC05P154445,0.95,
NGDN,Neuroguidin,Protein Coding,Q8NEJ9,46,GC14P023469,0.95,
CA5B,Carbonic Anhydrase 5B,Protein Coding,Q9Y2D0,52,GC0XP015688,0.95,
GATAD1,GATA Zinc Finger Domain Containing 1,Protein Coding,Q8WUU5,46,GC07P092447,0.95,
THUMPD3,THUMP Domain 3 TRNA Guanosine Methyltransferase,Protein Coding,Q9BV44,44,GC03P009362,0.95,
MIR30C2,MicroRNA 30c-2,RNA Gene (miRNA),,24,GC06M107741,0.95,
MED7,Mediator Complex Subunit 7,Protein Coding,O43513,44,GC05M157137,0.95,
SNORD57,"Small Nucleolar RNA, C/D Box 57",RNA Gene (snoRNA),,17,GC20P010949,0.95,
TNKS,Tankyrase,Protein Coding,O95271,59,GC08P009555,0.95,
USP30,Ubiquitin Specific Peptidase 30,Protein Coding,Q70CQ3,50,GC12P109027,0.95,
CDCA7L,Cell Division Cycle Associated 7 Like,Protein Coding,Q96GN5,50,GC07M021900,0.95,
ELDR,EGFR Long Non-Coding Downstream RNA,RNA Gene (lncRNA),,16,GC07M055235,0.95,
CCL13,C-C Motif Chemokine Ligand 13,Protein Coding,Q99616,49,GC17P034356,0.94,
CHCHD7,Coiled-Coil-Helix-Coiled-Coil-Helix Domain Containing 7,Protein Coding,Q9BUK0,44,GC08P056211,0.94,
ARPC1A,Actin Related Protein 2/3 Complex Subunit 1A,Protein Coding,Q92747,48,GC07P099325,0.94,
UQCC4,Ubiquinol-Cytochrome C Reductase Complex Assembly Factor 4,Protein Coding,Q4G0I0,38,GC16M052071,0.94,
UQCRFS1P1,"Ubiquinol-Cytochrome C Reductase, Rieske Iron-Sulfur Polypeptide 1 Pseudogene 1",Pseudogene,P0C7P4,20,GC22P039875,0.94,
PDCL,Phosducin Like,Protein Coding,Q13371,50,GC09M122798,0.94,
RTCA,RNA 3'-Terminal Phosphate Cyclase,Protein Coding,O00442,42,GC01P100266,0.94,
TNFSF15,TNF Superfamily Member 15,Protein Coding,O95150,55,GC09M114784,0.94,
HJURP,Holliday Junction Recognition Protein,Protein Coding,Q8NCD3,48,GC02M233892,0.94,
CRMP1,Collapsin Response Mediator Protein 1,Protein Coding,Q14194,53,GC04M006427,0.94,
AHCYL2,Adenosylhomocysteinase Like 2,Protein Coding,Q96HN2,47,GC07P129225,0.94,
SH3BP1,SH3 Domain Binding Protein 1,Protein Coding,Q9Y3L3,47,GC22P037634,0.94,
COL10A1,Collagen Type X Alpha 1 Chain,Protein Coding,Q03692,54,GC06M116118,0.94,
KDM7A-DT,KDM7A Divergent Transcript,RNA Gene (lncRNA),,16,GC07P165740,0.94,
MIR367,MicroRNA 367,RNA Gene (miRNA),,26,GC04M112647,0.94,
KCNJ4,Potassium Inwardly Rectifying Channel Subfamily J Member 4,Protein Coding,P48050,55,GC22M038426,0.94,
ATP8B3,ATPase Phospholipid Transporting 8B3,Protein Coding,O60423,49,GC19M107793,0.94,
H2AZ1,H2A.Z Variant Histone 1,Protein Coding,P0C0S5,53,GC04M099949,0.94,
TRIM14,Tripartite Motif Containing 14,Protein Coding,Q14142,46,GC09M098035,0.94,
KIAA1586,KIAA1586,Protein Coding,Q9HCI6,42,GC06P057046,0.94,
PDE4DIP,Phosphodiesterase 4D Interacting Protein,Protein Coding,Q5VU43,51,GC01P148808,0.94,
HCG11,HLA Complex Group 11,RNA Gene (lncRNA),,26,GC06P181715,0.94,
DUOXA1,Dual Oxidase Maturation Factor 1,Protein Coding,Q1HG43,45,GC15M048204,0.94,
G6PC2,Glucose-6-Phosphatase Catalytic Subunit 2,Protein Coding,Q9NQR9,48,GC02P168901,0.94,
TPPP,Tubulin Polymerization Promoting Protein,Protein Coding,O94811,53,GC05M000659,0.94,
AP1G2,Adaptor Related Protein Complex 1 Subunit Gamma 2,Protein Coding,O75843,47,GC14M023559,0.94,
SUDS3,"SDS3 Homolog, SIN3A Corepressor Complex Component",Protein Coding,Q9H7L9,47,GC12P118376,0.94,
ZNF12,Zinc Finger Protein 12,Protein Coding,P17014,45,GC07M009872,0.94,
ZNF189,Zinc Finger Protein 189,Protein Coding,O75820,43,GC09P101398,0.94,
RSBN1L,Round Spermatid Basic Protein 1 Like,Protein Coding,Q6PCB5,37,GC07P077696,0.94,
IDI2-AS1,IDI2 Antisense RNA 1,RNA Gene (lncRNA),Q9NZ38,25,GC10P002341,0.94,
UBE2E2,Ubiquitin Conjugating Enzyme E2 E2,Protein Coding,Q96LR5,51,GC03P027275,0.94,
FZD2,Frizzled Class Receptor 2,Protein Coding,Q14332,59,GC17P044557,0.93,
PARD3,Par-3 Family Cell Polarity Regulator,Protein Coding,Q8TEW0,54,GC10M037208,0.93,
MRPL23,Mitochondrial Ribosomal Protein L23,Protein Coding,Q16540,47,GC11P020306,0.93,
HAP1,Huntingtin Associated Protein 1,Protein Coding,P54257,52,GC17M041717,0.93,
HCN2,Hyperpolarization Activated Cyclic Nucleotide Gated Potassium And Sodium Channel 2,Protein Coding,Q9UL51,59,GC19P000589,0.93,
KRTCAP2,Keratinocyte Associated Protein 2,Protein Coding,Q8N6L1,38,GC01M167444,0.93,
SYT14,Synaptotagmin 14,Protein Coding,Q8NB59,48,GC01P209900,0.93,
PROK1,Prokineticin 1,Protein Coding,P58294,48,GC01P110451,0.93,
MARCO,Macrophage Receptor With Collagenous Structure,Protein Coding,Q9UEW3,47,GC02P118942,0.93,
BOLA2B,BolA Family Member 2B,Protein Coding,Q9H3K6,41,GC16M051079,0.93,
PITPNM3,PITPNM Family Member 3,Protein Coding,Q9BZ71,50,GC17M006451,0.93,
LOXL1-AS1,LOXL1 Antisense RNA 1,RNA Gene (lncRNA),,21,GC15M162753,0.93,
PCSK7,Proprotein Convertase Subtilisin/Kexin Type 7,Protein Coding,Q16549,55,GC11M140591,0.93,
ATP1A4,ATPase Na+/K+ Transporting Subunit Alpha 4,Protein Coding,Q13733,52,GC01P160151,0.93,
FAR2,Fatty Acyl-CoA Reductase 2,Protein Coding,Q96K12,49,GC12P074554,0.93,
SIGLEC9,Sialic Acid Binding Ig Like Lectin 9,Protein Coding,Q9Y336,45,GC19P152941,0.93,
UVRAG,UV Radiation Resistance Associated,Protein Coding,Q9P2Y5,52,GC11P075815,0.93,
CKS2,CDC28 Protein Kinase Regulatory Subunit 2,Protein Coding,P33552,50,GC09P089311,0.93,
PTGDR,Prostaglandin D2 Receptor,Protein Coding,Q13258,58,GC14P052267,0.93,
QRICH2,Glutamine Rich 2,Protein Coding,Q9H0J4,44,GC17M076274,0.93,
SPI1,Spi-1 Proto-Oncogene,Protein Coding,P17947,56,GC11M139453,0.93,
PLCH1,Phospholipase C Eta 1,Protein Coding,Q4KWH8,48,GC03M155381,0.93,
KCNC4,Potassium Voltage-Gated Channel Subfamily C Member 4,Protein Coding,Q03721,56,GC01P111978,0.93,
FKBP2,FKBP Prolyl Isomerase 2,Protein Coding,P26885,50,GC11P107686,0.93,
ABCB5,ATP Binding Cassette Subfamily B Member 5,Protein Coding,Q2M3G0,55,GC07P020615,0.93,
HNRNPA1L2,Heterogeneous Nuclear Ribonucleoprotein A1 Like 2,Protein Coding,Q32P51,38,GC13P052617,0.93,
NETO1,Neuropilin And Tolloid Like 1,Protein Coding,Q8TDF5,50,GC18M072742,0.92,
ZDHHC23,Zinc Finger DHHC-Type Palmitoyltransferase 23,Protein Coding,Q8IYP9,41,GC03P113947,0.92,
DLGAP2,DLG Associated Protein 2,Protein Coding,Q9P1A6,49,GC08P000934,0.92,
ANO9,Anoctamin 9,Protein Coding,A1A5B4,48,GC11M015041,0.92,
ARHGEF3,Rho Guanine Nucleotide Exchange Factor 3,Protein Coding,Q9NR81,51,GC03M056736,0.92,
MIR410,MicroRNA 410,RNA Gene (miRNA),,26,GC14P121376,0.92,
NCKAP1,NCK Associated Protein 1,Protein Coding,Q9Y2A7,52,GC02M182909,0.92,
NEO1,Neogenin 1,Protein Coding,Q92859,54,GC15P073051,0.92,
NEPRO,Nucleolus And Neural Progenitor Protein,Protein Coding,Q6NW34,45,GC03M113009,0.92,
MIR1303,MicroRNA 1303,RNA Gene (miRNA),,17,GC05P154685,0.92,
NXNL2,Nucleoredoxin Like 2,Protein Coding,Q5VZ03,41,GC09P088534,0.92,
ACP6,"Acid Phosphatase 6, Lysophosphatidic",Protein Coding,Q9NPH0,51,GC01M167082,0.92,
CHI3L2,Chitinase 3 Like 2,Protein Coding,Q15782,51,GC01P112023,0.92,
ATP13A4,ATPase 13A4,Protein Coding,Q4VNC1,48,GC03M193401,0.92,
NT5M,"5',3'-Nucleotidase, Mitochondrial",Protein Coding,Q9NPB1,47,GC17P017303,0.92,
ETNPPL,Ethanolamine-Phosphate Phospho-Lyase,Protein Coding,Q8TBG4,44,GC04M108742,0.92,
DUSP21,Dual Specificity Phosphatase 21,Protein Coding,Q9H596,40,GC0XP044844,0.92,
NAGPA,N-Acetylglucosamine-1-Phosphodiester Alpha-N-Acetylglucosaminidase,Protein Coding,Q9UK23,48,GC16M050049,0.92,
SLC20A2,Solute Carrier Family 20 Member 2,Protein Coding,Q08357,58,GC08M042416,0.92,
DUSP23,Dual Specificity Phosphatase 23,Protein Coding,Q9BVJ7,44,GC01P159780,0.92,
SC5D,Sterol-C5-Desaturase,Protein Coding,O75845,53,GC11P121292,0.92,
CHD5,Chromodomain Helicase DNA Binding Protein 5,Protein Coding,Q8TDI0,54,GC01M022281,0.92,
PPP4R1,Protein Phosphatase 4 Regulatory Subunit 1,Protein Coding,Q8TF05,44,GC18M009546,0.92,
MIF4GD,MIF4G Domain Containing,Protein Coding,A9UHW6,41,GC17M075266,0.92,
SLX9,SLX9 Ribosome Biogenesis Factor,Protein Coding,Q9NSI2,35,GC21P044939,0.92,
MIR4508,MicroRNA 4508,RNA Gene (miRNA),,13,GC15M023562,0.92,
COPE,COPI Coat Complex Subunit Epsilon,Protein Coding,O14579,51,GC19M018899,0.92,
COPS7B,COP9 Signalosome Subunit 7B,Protein Coding,Q9H9Q2,45,GC02P231781,0.92,
ACBD6,Acyl-CoA Binding Domain Containing 6,Protein Coding,Q9BR61,50,GC01M186864,0.92,
ENOX1,Ecto-NOX Disulfide-Thiol Exchanger 1,Protein Coding,Q8TC92,50,GC13M043213,0.92,
ABHD14B,Abhydrolase Domain Containing 14B,Protein Coding,Q96IU4,44,GC03M051968,0.92,
SNX6,Sorting Nexin 6,Protein Coding,Q9UNH7,47,GC14M034561,0.92,
PGLYRP2,Peptidoglycan Recognition Protein 2,Protein Coding,Q96PD5,46,GC19M015468,0.92,
CCDC137,Coiled-Coil Domain Containing 137,Protein Coding,Q6PK04,41,GC17P081666,0.92,
DHX40,DEAH-Box Helicase 40,Protein Coding,Q8IX18,44,GC17P059565,0.92,
TIMP4,TIMP Metallopeptidase Inhibitor 4,Protein Coding,Q99727,52,GC03M012153,0.92,
ANXA4,Annexin A4,Protein Coding,P09525,51,GC02P069664,0.91,
PCNT,Pericentrin,Protein Coding,O95613,55,GC21P046324,0.91,
COL9A2,Collagen Type IX Alpha 2 Chain,Protein Coding,Q14055,54,GC01M040300,0.91,
CDK12,Cyclin Dependent Kinase 12,Protein Coding,Q9NYV4,58,GC17P039461,0.91,
S1PR4,Sphingosine-1-Phosphate Receptor 4,Protein Coding,O95977,51,GC19P151478,0.91,
BCAS2,BCAS2 Pre-MRNA Processing Factor,Protein Coding,O75934,48,GC01M114567,0.91,
COPS2,COP9 Signalosome Subunit 2,Protein Coding,P61201,48,GC15M049106,0.91,
IFI6,Interferon Alpha Inducible Protein 6,Protein Coding,P09912,47,GC01M027666,0.91,
LRRC40,Leucine Rich Repeat Containing 40,Protein Coding,Q9H9A6,44,GC01M070144,0.91,
UBA6-DT,UBA6 Divergent Transcript,RNA Gene (lncRNA),,21,GC04P067916,0.91,
MIR4476,MicroRNA 4476,RNA Gene (miRNA),,20,GC09M037147,0.91,
LINC01419,Long Intergenic Non-Protein Coding RNA 1419,RNA Gene (lncRNA),,18,GC08P083403,0.91,
RASGRF2,Ras Protein Specific Guanine Nucleotide Releasing Factor 2,Protein Coding,O14827,48,GC05P080960,0.91,
RNY4,"RNA, Ro60-Associated Y4",RNA Gene (Y_RNA),,15,GC07P148963,0.91,
CLTB,Clathrin Light Chain B,Protein Coding,P09497,50,GC05M176392,0.91,
KALRN,Kalirin RhoGEF Kinase,Protein Coding,O60229,54,GC03P124033,0.91,
IL23R,Interleukin 23 Receptor,Protein Coding,Q5VWK5,57,GC01P067138,0.91,
LMO3,LIM Domain Only 3,Protein Coding,Q8TAP4,48,GC12M016548,0.91,
TUBD1,Tubulin Delta 1,Protein Coding,Q9UJT1,47,GC17M059859,0.91,
ROM1,Retinal Outer Segment Membrane Protein 1,Protein Coding,Q03395,55,GC11P062611,0.91,
THOC2,THO Complex Subunit 2,Protein Coding,Q8NI27,52,GC0XM123600,0.91,
TNFSF13,TNF Superfamily Member 13,Protein Coding,O75888,57,GC17P007558,0.91,
PDGFC,Platelet Derived Growth Factor C,Protein Coding,Q9NRA1,54,GC04M156760,0.91,
COBL,Cordon-Bleu WH2 Repeat Protein,Protein Coding,O75128,47,GC07M051016,0.91,
GOSR1,Golgi SNAP Receptor Complex Member 1,Protein Coding,O95249,47,GC17P030477,0.91,
CCNI,Cyclin I,Protein Coding,Q14094,45,GC04M077047,0.91,
MIR320B1,MicroRNA 320b-1,RNA Gene (miRNA),,21,GC01P116671,0.91,
MIR320B2,MicroRNA 320b-2,RNA Gene (miRNA),,20,GC01M224257,0.91,
CDK10,Cyclin Dependent Kinase 10,Protein Coding,Q15131,57,GC16P089680,0.91,
ST18,ST18 C2H2C-Type Zinc Finger Transcription Factor,Protein Coding,O60284,47,GC08M052110,0.91,
RNU7-66P,"RNA, U7 Small Nuclear 66 Pseudogene",Pseudogene,,8,GC06M066728,0.91,
UBE2L6,Ubiquitin Conjugating Enzyme E2 L6,Protein Coding,O14933,51,GC11M139512,0.91,
GABRA4,Gamma-Aminobutyric Acid Type A Receptor Subunit Alpha4,Protein Coding,P48169,58,GC04M046836,0.91,
PNISR,PNN Interacting Serine And Arginine Rich Protein,Protein Coding,Q8TF01,41,GC06M108590,0.91,
RNF145,Ring Finger Protein 145,Protein Coding,Q96MT1,40,GC05M159157,0.91,
PAX5,Paired Box 5,Protein Coding,Q02548,60,GC09M037145,0.91,
APOL2,Apolipoprotein L2,Protein Coding,Q9BQE5,49,GC22M036226,0.91,
S100A3,S100 Calcium Binding Protein A3,Protein Coding,P33764,47,GC01M153547,0.91,
APELA,Apelin Receptor Early Endogenous Ligand,Protein Coding,P0DMC3,31,GC04P164877,0.91,
TRAK1,Trafficking Kinesin Protein 1,Protein Coding,Q9UPV9,52,GC03P042309,0.91,
PAX4,Paired Box 4,Protein Coding,O43316,52,GC07M127610,0.91,
ATP11A,ATPase Phospholipid Transporting 11A,Protein Coding,P98196,54,GC13P112690,0.91,
DTYMK,Deoxythymidylate Kinase,Protein Coding,P23919,57,GC02M241675,0.9,
STX12,Syntaxin 12,Protein Coding,Q86Y82,49,GC01P076511,0.9,
MT1E,Metallothionein 1E,Protein Coding,P04732,52,GC16P056625,0.9,
DDX59,DEAD-Box Helicase 59,Protein Coding,Q5T1V6,50,GC01M200594,0.9,
RNU4-2,"RNA, U4 Small Nuclear 2",RNA Gene (snRNA),,24,GC12M120291,0.9,
RNF152,Ring Finger Protein 152,Protein Coding,Q8N8N0,45,GC18M061808,0.9,
CNGA3,Cyclic Nucleotide Gated Channel Subunit Alpha 3,Protein Coding,Q16281,55,GC02P100125,0.9,
BCL2L13,BCL2 Like 13,Protein Coding,Q9BXK5,51,GC22P017628,0.9,
APOBEC3C,Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 3C,Protein Coding,Q9NRW3,44,GC22P039014,0.9,
BOD1L1,Biorientation Of Chromosomes In Cell Division 1 Like 1,Protein Coding,Q8NFC6,45,GC04M013571,0.9,
CLNS1A,Chloride Nucleotide-Sensitive Channel 1A,Protein Coding,P54105,44,GC11M140146,0.9,
ROBO4,Roundabout Guidance Receptor 4,Protein Coding,Q8WZ75,55,GC11M124883,0.9,
PIGS,Phosphatidylinositol Glycan Anchor Biosynthesis Class S,Protein Coding,Q96S52,52,GC17M028553,0.9,
MRPL19,Mitochondrial Ribosomal Protein L19,Protein Coding,P49406,47,GC02P075646,0.9,
ARRDC1,Arrestin Domain Containing 1,Protein Coding,Q8N5I2,41,GC09P137605,0.9,
MIR4306,MicroRNA 4306,RNA Gene (miRNA),,14,GC13P099643,0.9,
CCDC12,Coiled-Coil Domain Containing 12,Protein Coding,Q8WUD4,42,GC03M046916,0.9,
OASL,2'-5'-Oligoadenylate Synthetase Like,Protein Coding,Q15646,51,GC12M124668,0.9,
MYL6B,Myosin Light Chain 6B,Protein Coding,P14649,47,GC12P075426,0.9,
SAP130,Sin3A Associated Protein 130,Protein Coding,Q9H0E3,47,GC02M128787,0.9,
CLEC14A,C-Type Lectin Domain Containing 14A,Protein Coding,Q86T13,40,GC14M038254,0.9,
LRP1B,LDL Receptor Related Protein 1B,Protein Coding,Q9NZR2,53,GC02M140231,0.9,
CLMN,Calmin,Protein Coding,Q96JQ2,46,GC14M095181,0.9,
JCAD,Junctional Cadherin 5 Associated,Protein Coding,Q9P266,38,GC10M030012,0.9,
VPS52,VPS52 Subunit Of GARP Complex,Protein Coding,Q8N1B4,47,GC06M106578,0.9,
ICAM5,Intercellular Adhesion Molecule 5,Protein Coding,Q9UMF0,52,GC19P010289,0.9,
ANKRD44,Ankyrin Repeat Domain 44,Protein Coding,Q8N8A2,46,GC02M196967,0.9,
TNFRSF18,TNF Receptor Superfamily Member 18,Protein Coding,Q9Y5U5,55,GC01M001203,0.9,
SLC7A3,Solute Carrier Family 7 Member 3,Protein Coding,Q8WY07,47,GC0XM070926,0.9,
IBTK,Inhibitor Of Bruton Tyrosine Kinase,Protein Coding,Q9P2D0,50,GC06M082169,0.89,
TMEM119,Transmembrane Protein 119,Protein Coding,Q4V9L6,47,GC12M108589,0.89,
PMVK,Phosphomevalonate Kinase,Protein Coding,Q15126,54,GC01M154924,0.89,
A1BG,Alpha-1-B Glycoprotein,Protein Coding,P04217,48,GC19M058345,0.89,
ATP13A1,ATPase 13A1,Protein Coding,Q9HD20,51,GC19M019645,0.89,
MED26,Mediator Complex Subunit 26,Protein Coding,O95402,45,GC19M016574,0.89,
STAT2,Signal Transducer And Activator Of Transcription 2,Protein Coding,P52630,62,GC12M056341,0.89,
MIR376C,MicroRNA 376c,RNA Gene (miRNA),,26,GC14P121368,0.89,
CPSF2,Cleavage And Polyadenylation Specific Factor 2,Protein Coding,Q9P2I0,44,GC14P092121,0.89,
IL10RB,Interleukin 10 Receptor Subunit Beta,Protein Coding,Q08334,57,GC21P033266,0.89,
PHACTR2,Phosphatase And Actin Regulator 2,Protein Coding,O75167,46,GC06P143536,0.89,
RAB6B,"RAB6B, Member RAS Oncogene Family",Protein Coding,Q9NRW1,48,GC03M133824,0.89,
PRSS3,Serine Protease 3,Protein Coding,P35030,55,GC09P033750,0.89,
MAD2L2,Mitotic Arrest Deficient 2 Like 2,Protein Coding,Q9UI95,55,GC01M022459,0.89,
NUDT19,Nudix Hydrolase 19,Protein Coding,A8MXV4,46,GC19P152327,0.89,
FGF22,Fibroblast Growth Factor 22,Protein Coding,Q9HCT0,49,GC19P000639,0.89,
ABI3,ABI Family Member 3,Protein Coding,Q9P2A4,47,GC17P049210,0.89,
ADD2,Adducin 2,Protein Coding,P35612,53,GC02M070626,0.89,
ZEB2,Zinc Finger E-Box Binding Homeobox 2,Protein Coding,O60315,61,GC02M144384,0.89,
GABRR2,Gamma-Aminobutyric Acid Type A Receptor Subunit Rho2,Protein Coding,P28476,52,GC06M108516,0.89,
GABRR3,Gamma-Aminobutyric Acid Type A Receptor Subunit Rho3,Protein Coding,A8MPY1,48,GC03M097986,0.89,
MED4,Mediator Complex Subunit 4,Protein Coding,Q9NPJ6,49,GC13M048053,0.89,
MED24,Mediator Complex Subunit 24,Protein Coding,O75448,44,GC17M040019,0.89,
GPSM1,G Protein Signaling Modulator 1,Protein Coding,Q86YR5,45,GC09P136327,0.89,
PARP4,Poly(ADP-Ribose) Polymerase Family Member 4,Protein Coding,Q9UKK3,53,GC13M024420,0.89,
BLTP1,Bridge-Like Lipid Transfer Protein Family Member 1,Protein Coding,Q2LD37,45,GC04P122509,0.89,
SLN,Sarcolipin,Protein Coding,O00631,46,GC11M140464,0.89,
MCF2L,MCF.2 Cell Line Derived Transforming Sequence Like,Protein Coding,O15068,52,GC13P112894,0.89,
ZFAND6,Zinc Finger AN1-Type Containing 6,Protein Coding,Q6FIF0,47,GC15P193634,0.89,
POLR2E,"RNA Polymerase II, I And III Subunit E",Protein Coding,P19388,52,GC19M001086,0.89,
TRA2A,Transformer 2 Alpha Homolog,Protein Coding,Q13595,46,GC07M023504,0.89,
ITSN2,Intersectin 2,Protein Coding,Q9NZM3,50,GC02M024203,0.89,
GAPVD1,GTPase Activating Protein And VPS9 Domains 1,Protein Coding,Q14C86,50,GC09P125261,0.89,
MYL7,Myosin Light Chain 7,Protein Coding,Q01449,50,GC07M044138,0.88,
CELF2,CUGBP Elav-Like Family Member 2,Protein Coding,O95319,57,GC10P010462,0.88,
NBPF14,NBPF Member 14,Protein Coding,Q5TI25,35,GC01M148531,0.88,
SH3GL1,"SH3 Domain Containing GRB2 Like 1, Endophilin A2",Protein Coding,Q99961,56,GC19M004360,0.88,
ZMIZ1,Zinc Finger MIZ-Type Containing 1,Protein Coding,Q9ULJ6,54,GC10P079068,0.88,
