Symbol,Description,Category?¡ø?,UniProt ID,GIFtS,GC id,Score,8.409
DLEU1,Deleted In Lymphocytic Leukemia 1,RNA Gene (lncRNA),O43261,37,GC13P051743,5.47,
LBP,Lipopolysaccharide Binding Protein,Protein Coding,P18428,56,GC20P038346,5.47,
SPRED1,Sprouty Related EVH1 Domain Containing 1,Protein Coding,Q7Z699,54,GC15P038252,5.47,
TSEN2,TRNA Splicing Endonuclease Subunit 2,Protein Coding,Q8NCE0,54,GC03P027054,5.47,
ITGA4,Integrin Subunit Alpha 4,Protein Coding,P13612,62,GC02P181501,5.46,
RPS6,Ribosomal Protein S6,Protein Coding,P62753,57,GC09M019375,5.46,
TNNC1,"Troponin C1, Slow Skeletal And Cardiac Type",Protein Coding,P63316,54,GC03M054894,5.46,
IL7R,Interleukin 7 Receptor,Protein Coding,P16871,59,GC05P035852,5.46,
PMPCA,"Peptidase, Mitochondrial Processing Subunit Alpha",Protein Coding,Q10713,55,GC09P136410,5.45,
MIR125B1,MicroRNA 125b-1,RNA Gene (miRNA),,30,GC11M140706,5.45,
TRP-AGG2-6,TRNA-Pro (Anticodon AGG) 2-6,RNA Gene (tRNA),,14,GC14M028665,5.45,
UBE2I,Ubiquitin Conjugating Enzyme E2 I,Protein Coding,P63279,60,GC16P120125,5.45,
ALOX5AP,Arachidonate 5-Lipoxygenase Activating Protein,Protein Coding,P20292,56,GC13P030713,5.45,
TRPM7,Transient Receptor Potential Cation Channel Subfamily M Member 7,Protein Coding,Q96QT4,56,GC15M050552,5.45,
ATP5F1C,ATP Synthase F1 Subunit Gamma,Protein Coding,P36542,50,GC10P007789,5.44,
NDUFA3,NADH:Ubiquinone Oxidoreductase Subunit A3,Protein Coding,O95167,48,GC19P054102,5.44,
MCM4,Minichromosome Maintenance Complex Component 4,Protein Coding,P33991,60,GC08P047975,5.44,
SLC23A1,Solute Carrier Family 23 Member 1,Protein Coding,Q9UHI7,50,GC05M139367,5.44,
OIP5-AS1,OIP5 Antisense RNA 1,RNA Gene (lncRNA),,25,GC15P192868,5.44,
ITGB4,Integrin Subunit Beta 4,Protein Coding,P16144,62,GC17P075721,5.43,
MT-TQ,Mitochondrially Encoded TRNA-Gln (CAA/G),RNA Gene (tRNA),,21,GCMTM004331,5.43,
STING1,Stimulator Of Interferon Response CGAMP Interactor 1,Protein Coding,Q86WV6,55,GC05M139501,5.43,
NDUFA4L2,NDUFA4 Mitochondrial Complex Associated Like 2,Protein Coding,Q9NRX3,47,GC12M057234,5.43,
PSMB5,Proteasome 20S Subunit Beta 5,Protein Coding,P28074,57,GC14M023016,5.43,
BTRC,Beta-Transducin Repeat Containing E3 Ubiquitin Protein Ligase,Protein Coding,Q9Y297,57,GC10P101354,5.43,
AZIN2,Antizyme Inhibitor 2,Protein Coding,Q96A70,52,GC01P033081,5.43,
UGT1A,UDP Glucuronosyltransferase Family 1 Member A Complex Locus,Uncategorized,,20,GC02P235095,5.42,
MIR15A,MicroRNA 15a,RNA Gene (miRNA),,25,GC13M050049,5.42,
PPP2R1A,Protein Phosphatase 2 Scaffold Subunit Aalpha,Protein Coding,P30153,60,GC19P152992,5.42,
PDX1,Pancreatic And Duodenal Homeobox 1,Protein Coding,P52945,59,GC13P028977,5.42,
UTS2,Urotensin 2,Protein Coding,O95399,51,GC01M007843,5.41,
ERMP1,Endoplasmic Reticulum Metallopeptidase 1,Protein Coding,Q7Z2K6,40,GC09M005749,5.41,
LMNB2,Lamin B2,Protein Coding,Q03252,55,GC19M107830,5.41,
ARL6,ARF Like GTPase 6,Protein Coding,Q9H0F7,52,GC03P097764,5.41,
BBS5,Bardet-Biedl Syndrome 5,Protein Coding,Q8N3I7,50,GC02P169498,5.41,
USH1G,USH1 Protein Network Component Sans,Protein Coding,Q495M9,50,GC17M074916,5.41,
CLRN1,Clarin 1,Protein Coding,P58418,47,GC03M150926,5.41,
BBS12,Bardet-Biedl Syndrome 12,Protein Coding,Q6ZW61,46,GC04P122702,5.41,
ABCC6,ATP Binding Cassette Subfamily C Member 6,Protein Coding,O95255,60,GC16M050398,5.41,
GABPA,GA Binding Protein Transcription Factor Subunit Alpha,Protein Coding,Q06546,48,GC21P025734,5.41,
HSD11B2,Hydroxysteroid 11-Beta Dehydrogenase 2,Protein Coding,P80365,58,GC16P121870,5.41,
NLRP12,NLR Family Pyrin Domain Containing 12,Protein Coding,P59046,54,GC19M109240,5.4,
PSMA3,Proteasome 20S Subunit Alpha 3,Protein Coding,P25788,57,GC14P058244,5.4,
CLPB,ClpB Family Mitochondrial Disaggregase,Protein Coding,Q9H078,56,GC11M139993,5.4,
FABP4,Fatty Acid Binding Protein 4,Protein Coding,P15090,56,GC08M081478,5.4,
OCA2,OCA2 Melanosomal Transmembrane Protein,Protein Coding,Q04671,57,GC15M047527,5.4,
SLC35A3,Solute Carrier Family 35 Member A3,Protein Coding,Q9Y2D2,52,GC01P100095,5.4,
MAFF,MAF BZIP Transcription Factor F,Protein Coding,Q9ULX9,48,GC22P038200,5.4,
