symbol,GSM1480043,GSM1480044,GSM1480045,GSM1480046,GSM1480047,GSM1480048,GSM1480049,GSM1480050,GSM1480051,GSM1480052,GSM1480053,GSM1480054,GSM1480055,GSM1480056,GSM1480057,GSM1480058,GSM1480059,GSM1480060,GSM1480061,GSM1480062,GSM1480063,GSM1480064,GSM1480065,GSM1480066,GSM1480067,GSM1480068,GSM1480069,GSM1480070,GSM1480071,GSM1480072,GSM1480073,GSM1480074,GSM1480075,GSM1480076,GSM1480077,GSM1480078,GSM1480079,GSM1480080,GSM1480081,GSM1480082,GSM1480083,GSM1480084,GSM1480085,GSM1480086,GSM1480087,GSM1480088,GSM1480089,GSM1480090
SPATA5L1,7.388768,7.573755,7.296072,7.577969,7.279056,7.176752,7.326866,7.411543,7.285486,7.493586,7.356064,7.671583,7.598236,7.342285,7.322094,7.380602,7.221,7.560322,7.2433,7.507379,7.421168,7.68765,7.906406,7.230378,7.331259,7.711191,7.788268,7.290553,7.201243,7.339958,7.312237,7.514226,7.138098,7.304776,7.268753,7.508948,7.463343,7.450856,7.153739,7.329401,7.374502,7.317777,7.477857,7.495986,7.18481,7.508271,7.253618,7.203956
GATM,8.892172,5.16378,6.760411,6.649191,7.097326,7.357549,7.240033,8.071734,5.973026,6.041996,7.474565,7.579471,6.884306,7.109958,6.865072,5.79723,6.203464,6.563445,6.010594,5.882631,6.780918,7.532061,5.39013,6.770343,6.295323,6.962386,5.229338,5.998634,5.069965,6.544283,8.121748,7.514226,7.560123,6.536469,5.649655,7.051001,6.000701,5.351168,5.667076,4.781844,6.022641,6.285531,6.411682,6.855098,7.073,7.310903,6.388083,7.066758
HAMP,6.050229,8.249067,8.542539,8.004968,9.13889,7.483905,9.169052,7.428889,8.069661,9.348377,8.84214,8.100255,8.956811,8.968696,9.112743,8.676992,8.952983,9.407068,7.111806,8.985052,7.698789,8.982113,7.806453,8.37654,7.113739,6.555271,7.724881,7.710596,7.021335,8.959192,8.163218,7.465734,8.430451,9.076163,8.756375,9.046907,6.864156,9.069673,8.855205,7.160456,7.410722,9.032975,7.950092,8.610089,9.277592,7.730716,7.492401,6.556469
CYP2C19,4.623883,4.551449,4.560586,4.641379,4.549194,4.534498,4.612934,4.582857,4.511902,4.682809,4.645416,4.64167,4.727052,4.510614,4.72931,4.524307,4.595766,4.543591,4.541109,4.620517,4.553111,4.485353,4.6587,4.504895,4.601916,4.533045,4.584623,4.590062,4.724214,4.6758,4.606883,4.751506,4.81083,4.671612,4.585926,4.653906,4.592856,4.771863,4.588386,4.463379,4.547333,4.600137,4.65449,4.523325,4.541251,4.773597,4.718828,4.631244
PDILT,4.449428,4.476009,4.460154,4.420279,4.409046,4.362151,4.393988,4.396943,4.444804,4.393895,4.439628,4.409046,4.493152,4.360272,4.391276,4.448272,4.46248,4.455168,4.421114,4.413633,4.479955,4.46085,4.457192,4.422928,4.425049,4.402383,4.410884,4.456388,4.437063,4.433662,4.413434,4.446227,4.390511,4.437496,4.420024,4.445267,4.428754,4.42935,4.459498,4.431306,4.552674,4.39526,4.406634,4.399479,4.426521,4.41607,4.459576,4.456656
BEX3,9.993901333,8.797106667,8.801300667,8.944869,8.963233,9.365467667,8.890695,9.14323,9.061573,8.668023333,8.859031333,8.578885333,9.036627,8.994737667,8.626123333,9.002303333,9.01394,9.435595333,9.293996667,8.862351333,8.955873667,9.191901,9.140779333,9.069099667,9.576679,9.724091,9.172391333,9.262371333,9.073749333,9.692532667,9.404392,9.287271333,8.598387667,9.111386,9.053922,9.125184333,9.666472667,8.947297333,8.916160667,9.570055667,9.135654333,9.019556333,9.466714,9.194285333,8.896028667,9.029355,8.975531333,9.377328333
GRM8,4.548061,4.566978,4.554624,4.580371,4.463183,4.461162,4.50744,4.549219,4.511902,4.678944,4.469319,4.514668,4.576521,4.481842,4.485103,4.529647,4.466789,4.569223,4.405664,4.518035,4.471832,4.543496,4.565527,4.434518,4.475384,4.492474,4.56203,4.512483,4.433768,4.432063,4.561981,4.466948,4.602532,4.568789,4.505556,4.500859,4.63878,4.571574,4.508802,4.450931,4.43923,4.494768,4.620547,4.482214,4.47765,4.489653,4.523848,4.46287
CRYAB,10.433513,13.178229,12.358108,12.631904,12.585443,12.564556,11.705675,11.87861,13.014209,12.420446,12.239981,10.791636,12.478827,12.697111,12.150121,12.883439,13.003985,13.226422,12.855382,12.921195,12.507384,12.2684,13.014209,12.847013,12.700941,12.869101,12.94941,12.242499,12.954743,12.998815,11.44921,11.677704,11.868545,12.008173,12.819795,11.603623,12.809132,13.309251,12.806293,12.975868,12.505307,13.066958,12.128769,12.340184,12.457287,11.537685,11.532563,12.272933
FAM131A,9.783151,8.074876,7.607528,7.836903,8.033547,8.609374,8.163548,7.978643,8.156592,8.482563,7.722777,8.561235,7.80382,8.121613,7.568627,8.118453,8.295251,8.492328,8.139102,7.74868,7.684206,7.63322,7.721909,8.106561,8.563989,8.270041,7.693187,7.864261,7.477713,8.225954,8.925291,9.899183,7.410625,7.705997,7.686505,7.817928,8.167124,8.178202,7.556631,7.492243,8.169589,7.997307,7.698905,8.081249,7.396638,8.234002,7.675396,8.261927
SORCS2,4.572283,4.48172,4.655317,4.824281,4.648774,4.457308,4.689675,4.687312,4.534032,4.468131,4.430333,4.582956,4.846692,4.631412,4.534404,4.634752,4.539023,4.730095,4.69322,4.78424,4.465882,4.571574,4.650811,4.591008,4.658496,5.011578,4.633623,4.629376,4.538591,5.062396,4.494126,4.531418,4.479914,4.692547,4.494852,4.592907,4.689612,4.695275,4.718828,4.603531,4.638113,4.58213,4.73652,4.605306,4.595135,4.578983,4.705069,4.579859
