"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"GSM1480062",0,0.00296094860358621,0,0.0626712068135251,0,0.202754165810896,0.00486688976830262,0,0.0539608652343057,0,0.136262297478867,0.0419565259998347,0.14323851677558,0,0.0121066084126228,0.241780630909195,0,0.00479242575506394,0.0926489184382209,0,0,0,0.13,0.0948339544037962,1.05805539908114
"GSM1480063",0.0239347373844053,0,0,0,0.0044862740181924,0.111929369987283,0.0550931694102303,0,0.0250920935862984,0.0312526464278472,0.241226847455659,0,0.382123373844308,0,0,0.0783660167394964,0,0.0031417382771452,0.0275683885045977,0.00111825197899006,0,0.0146670923855479,0.072,0.131772952785744,1.06746076958037
"GSM1480064",0,0,0,0.013081233660879,0,0.101913817939852,0,0,0.015428020455526,0,0.249197042653989,0.0126565921822723,0.218558642512536,0.00145743813207395,0.0217790155219745,0.212491931705782,0,0.0284492944917849,0.12498697074333,0,0,0,0.04,0.167460189982167,1.03421353713801
"GSM1480065",0.0163764884630104,0,0,0,0,0.0622630025695293,0.0158805085295717,0,0.0132196011171127,0.0574293854946557,0.173660532996986,0.0372316674299938,0.31403658014514,0.0857877206852832,0.00656771417809258,0.103305777225127,0,0.00467355855412902,0.0972693111421551,0,0,0.0122981514692123,0.094,0.113850993317729,1.06550896511707
"GSM1480066",0.00077194049547692,0,0,0.0123785442893333,0,0.16592710122053,0.00325630652741785,0,0.027009820781917,0,0.111429495116321,0.155785210233064,0.0780734905399211,0,0.0612161402696531,0.245012346216444,0,0,0.139139604309922,0,0,0,0.005,0.297339704785544,0.977726683419963
"GSM1480067",0.0155792739861676,0,0,0.0198853560773363,0,0.251304426172553,0,0,0.0048208797085468,0,0.092554434712268,0.0098498148539869,0.222061230599167,0,0.0198884004395613,0.221745688908626,0,0.0173826445831502,0.124478482668126,0,0,0.000449367290510968,0.052,0.155306409348193,1.02372016380441
"GSM1480068",0.00648721155987687,0,0,0.0115594373814049,0,0.253056514744155,0,0.0358751940066764,0.00752387523735528,0.0715863196433801,0.0891864761326538,0,0.0537785474783134,0,0.0363097606188806,0.206341278932178,0,0.00237977788908336,0.225915606376042,0,0,0,0.012,0.220183293390552,1.00002917764289
"GSM1480069",0.00644503874836202,0,0,0.0330200216780619,0,0.239346972893149,0,0.00570430135719732,0,0,0.218825808292893,0.0524752246315706,0.0645931592553792,0.00135551966147276,0.0202924601644811,0.233149430351319,0,0.0459047705149174,0.0788872924511968,0,0,0,0.018,0.202698204960334,1.02236183813571
"GSM1480070",0.019804672551552,0,0,0.0415266059009837,0,0.229519868195049,0.0104833156382852,0,0.0220877931204906,0,0.281514252145829,0,0.190453412894262,0,0.0339886601581282,0.0939065737133842,0.000348044326993974,0.00275859361583845,0.073608207739204,0,0,0,0.054,0.149776533924746,1.05168706707719
"GSM1480071",0.011400943771064,0,0,0.0276553093734561,0.0567727587400369,0.0830275617852483,0.0263226320025989,0,0.047572244979271,0,0.248865853696776,0,0.011056101378998,0,0,0.424999197356735,0,0.00439125868908867,0.0275257061282003,0,0,0.0304104320985266,0.367,0.036612020783552,1.10204763951134
