"probes","moduleColor","GS.PE","p.GS.PE","MEblack","MEblack","MEmagenta","MEmagenta","MEyellow","MEyellow","MEblue","MEblue","MEpurple","MEpurple","MEturquoise","MEturquoise","MEpink","MEpink","MEbrown","MEbrown","MEgreen","MEgreen","MEgrey","MEgrey"
"EVC","black",-0.0259981216158051,0.860763840338429,0.814217662856357,1.94952580780568e-12,0.73489302049962,2.73232472515745e-09,0.473160489045184,0.000682867089339964,0.400634281357795,0.00477603686665566,0.232162130987959,0.112320587714909,-0.477801873353991,0.000593918187710069,0.0141145353429663,0.92414376140842,-0.471948392094953,0.000707985427730292,-0.569844601633559,2.36240887651886e-05,0.247461092662444,0.0899322395000491
"CCDC167","black",-0.045545783027902,0.758544880588113,0.704639514972418,2.27580663203694e-08,0.733245155032399,3.08917072763238e-09,0.667026464862142,2.2568285745345e-07,0.0717307024363368,0.628038205646109,0.0907252014326702,0.539703963714231,-0.263369658772149,0.0705037530307473,-0.347253986824954,0.0155971281222671,-0.610309537251661,4.11135483693115e-06,-0.557569440051912,3.84077504229977e-05,0.248918988552241,0.0879947387721156
"HMGN1","black",0.538852792911798,7.77442859498085e-05,-0.670436238502598,1.85807444817952e-07,-0.184717908332104,0.208797851996635,-0.247354183581573,0.0900756146867666,-0.014331469255629,0.922981367642903,0.363002532921151,0.0112186419037259,-0.233085035824529,0.110859847275889,-0.196129457378653,0.181541254619675,0.367628980000761,0.01015275281501,0.326798819889274,0.0233847018535191,-0.626012086402383,1.95028334394506e-06
"IPO7","black",-0.0145309962927693,0.921912385226332,-0.46905687855784,0.000771289121813533,-0.15640085913072,0.288433666320222,-0.272888640853066,0.0605753576998429,0.158705415633681,0.281298854752712,-0.167392678114161,0.255451999019946,-0.11735342172446,0.426981773539177,-0.46369573357625,0.000902237580286117,0.226862558907554,0.120994198184695,0.416598409305622,0.00322553318106763,-0.206780839300404,0.158495591751391
"UBOX5","black",-0.314523103696721,0.0294636638240038,0.653632961566264,4.73039424254099e-07,0.227014985316546,0.120737851128844,0.294942160198821,0.0418435075113929,-0.0276304720793575,0.852116192173105,-0.104270524495817,0.480629132684879,0.154377311202137,0.294794900629077,0.176590405515507,0.229880136637253,-0.33670273525937,0.0192818584713326,-0.411485810087097,0.00366510133412732,0.495225705166873,0.000345462731183454
"EZH2","black",0.111116908300689,0.452122815484573,-0.805884735160986,4.85749534074166e-12,-0.845049759394437,4.26946646317633e-14,-0.647799976404805,6.45608795101798e-07,-0.306789412334804,0.0339291787931687,-0.0149571929692186,0.919629460854738,0.469236911309663,0.000767204220359002,0.288260468337462,0.0469355853162861,0.639988035065084,9.6925318202124e-07,0.482312636933004,0.000517604670904302,-0.314977462904647,0.0292172949202869
"HSD3B7","black",-0.221207738567207,0.130798146431741,0.829182739235893,3.3548368081035e-13,0.68606771399497,7.37101193283313e-08,0.731358911849811,3.55129439253743e-09,-0.0782805074220962,0.596902600986701,0.107003362047237,0.46913833519722,-0.146304948075024,0.321068851891869,-0.0876653844775304,0.553518357112102,-0.698571092859858,3.37385955818068e-08,-0.499872376653137,0.000297507305622284,0.426594213124685,0.00249822379854809
"PER1","black",-0.116850569514242,0.428979210710912,0.66456028276447,2.59354340912911e-07,0.35247601063904,0.0140071785772425,0.163258672638387,0.267545403212796,0.339736282308393,0.0181539984876619,0.0656306285511397,0.657624780465905,-0.227661777790371,0.119654661004117,0.38225903400243,0.00733531715590144,-0.180756828096979,0.218896830794982,-0.515121013175784,0.000179419231716083,0.326677134519872,0.0234393432020108
"AAMP","black",-0.226509259470226,0.121589951616255,0.726389262790049,5.09937564042081e-09,0.284993113762848,0.0496031021469419,0.564784657451774,2.89316896034021e-05,-0.24875312523737,0.0882135113184889,-0.181730879917458,0.216382558955281,-0.12560505773939,0.394961104677173,0.196928251021774,0.179733872531005,-0.106132489150095,0.47278406863024,-0.454796040887672,0.00116403980301086,0.486209293235879,0.000458920053658704
"ZWINT","black",0.352484578488417,0.0140046881304033,-0.702666897000622,2.5893083022191e-08,-0.387435083361315,0.00651575245315771,-0.283636132595604,0.0507464951953476,-0.184088345290443,0.210380740739657,0.0942193281280416,0.524135762081654,-0.134436346081151,0.362297629908056,-0.0442210269920655,0.765365540418795,0.54140308273476,7.07951351983896e-05,0.529842534020897,0.000107584714068125,-0.483213384293945,0.000503468858133529
"PITPNM1","black",-0.0670564097502183,0.650660697668392,0.510606611796207,0.00020891583466046,0.131807327526069,0.371845663751126,0.0262070760288115,0.859655946212983,0.10330738057706,0.484713916189686,0.307468808175191,0.03351571187909,0.16936534175431,0.249812834374298,0.359856261160786,0.0119972021930686,-0.264826952473517,0.0689052104587237,-0.396009929671063,0.00533260443546837,0.325602945340998,0.0239263585250215
"DUS1L","black",0.0164864575516604,0.911443348018587,0.539834915328716,7.49975473700769e-05,0.0826681118426156,0.576433536042587,-0.0417496369121488,0.778136547983541,0.268882541018621,0.0646077216009549,0.0297510681294634,0.840907750153941,-0.163521980481374,0.266763980668613,0.622235116652309,2.34219952378653e-06,0.0947536013963751,0.521775068157014,-0.296891435381273,0.0404462825898833,0.292911784306436,0.0433406133951034
"SPINK9","black",-0.25809647269562,0.0765351557351936,0.419065013760119,0.00303058655669231,0.249222230697387,0.0875958584703806,0.337940518571741,0.0188147043610538,-0.122269312218814,0.407732812792591,0.0382418240080892,0.79636249048973,0.0522860392262274,0.72413258570333,0.00723373943066239,0.961081589151562,-0.27775994986329,0.0559465420230331,-0.366351981795957,0.0104378701020111,0.469954633386205,0.000751111552091414
"TIMM9","black",0.176582995577656,0.229900001853818,0.611720682968173,3.85115734837395e-06,0.76502183119481,2.43899975310273e-10,0.452677245509243,0.00123559219177146,0.403997603007344,0.00440382550235567,0.203586468077985,0.165169679757247,-0.497687715089818,0.000319247626028805,-0.232641799149737,0.111559565680763,-0.551408819084021,4.86681620006878e-05,-0.409576894103952,0.00384224592940381,0.0930814709917729,0.529180977915434
"UAP1L1","black",-0.358956958598647,0.0122280729007324,0.588095951889177,1.10532135573998e-05,0.260420652650019,0.0738285056250786,0.348273832868247,0.0152750892815764,-0.0737815169689469,0.618216834240769,-0.292467370216503,0.0436740719781943,0.1183951272921,0.42286061440809,0.208031620101255,0.155936825000698,-0.38003347637857,0.00771431373474716,-0.341391602014533,0.0175624684271531,0.342269660264123,0.0172553799931479
"ATRIP","black",-0.0465397355001555,0.753439273528586,0.695524915816837,4.09623774171523e-08,0.448811102495832,0.00137633393697989,0.568754888441973,2.46850037288959e-05,-0.0606096764936754,0.682375374716898,0.123490873549465,0.403028400012866,-0.541145379257564,7.14706075500527e-05,0.366012222858854,0.0105148785416475,-0.0118926760801976,0.936057711342131,-0.372955687939785,0.00903456470899505,0.244926896854645,0.093378941834721
"USP2","black",-0.148325044887187,0.314359210361795,0.603106907630564,5.71210520539446e-06,0.497730386442848,0.000318809582712043,0.494627334367563,0.000352121149703194,0.11650658087911,0.430348627911842,-0.270250962406981,0.0632069219447039,-0.395227818972576,0.00543213145978671,-0.190809178673567,0.19391255688289,-0.203125774778606,0.166148844108877,-0.372115223168293,0.00920359437205196,0.287576592190125,0.0474840329093606
"ZER1","black",-0.396493235509112,0.00527190069454848,0.788553486634409,2.83910084511492e-11,0.236599644660387,0.105429536264103,0.268956813996344,0.0645310609141897,0.0814212670239964,0.582217673229049,-0.253370638487601,0.0822795585720364,0.0388111703527584,0.793396682712419,0.259414001987244,0.0749913716701772,-0.230012696185497,0.115779482968899,-0.437868684645735,0.00185525429289507,0.640963670817858,9.21868630529749e-07
"SIRT6","black",-0.15648720814935,0.288164225282509,0.645901137066957,7.13384034807774e-07,0.279987582288104,0.0539269171556407,0.133826293607774,0.364499867818685,0.254055148680581,0.0814271884552296,-0.0180313570507756,0.903182762969609,-0.16002110154977,0.277277938379732,0.406210681047358,0.00417300334351271,-0.173341935192764,0.238702343220896,-0.341955100226978,0.0173648653256691,0.401216951926741,0.00470964843774163
"ADCY9","black",-0.13035269092623,0.377192802652658,0.789109165003365,2.68975188568433e-11,0.746368782085932,1.13267993159719e-09,0.80656873823231,4.51429042065164e-12,-0.0278154088461352,0.851137522627021,-0.0129589028679862,0.930338551568857,-0.454560749374715,0.00117179868106079,-0.119282636692668,0.419367322764508,-0.458364389835631,0.00105186590821771,-0.52316663094448,0.000136063129630252,0.177926669754391,0.226317045995236
"PTPN23","black",-0.383370982310325,0.00715208641554104,0.793790280776162,1.69507464604856e-11,0.234621099835731,0.108460835996726,0.286737030155781,0.0481644473959815,0.0680609249795352,0.645771848701806,-0.234218874634851,0.109085154257785,-0.144770857022876,0.326224220062664,0.357505797714408,0.0126086421123632,-0.0772988214805275,0.601525760299788,-0.311889529627387,0.0309259415573514,0.665777199396605,2.42193385688002e-07
