NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_REFERENCE_HGF_MET_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_HGF_MET_RAS_ERK_SIGNALING_PATHWAY		15	0.29500425	0.6858276	0.86470586	1.0	1.0	3892	tags=33%, list=20%, signal=42%	
KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119	KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119		25	0.25926748	0.67258656	0.9285714	1.0	1.0	3222	tags=28%, list=17%, signal=34%	
KEGG_MEDICUS_REFERENCE_KITLG_KIT_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_KITLG_KIT_RAS_ERK_SIGNALING_PATHWAY		15	0.2886686	0.66938996	0.8911439	1.0	1.0	3892	tags=33%, list=20%, signal=42%	
KEGG_MEDICUS_REFERENCE_P4_PR_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_P4_PR_RAS_ERK_SIGNALING_PATHWAY		16	0.2803499	0.6687302	0.896488	1.0	1.0	3892	tags=31%, list=20%, signal=39%	
KEGG_MEDICUS_REFERENCE_P300_P21_CELL_CYCLE_G1_S	KEGG_MEDICUS_REFERENCE_P300_P21_CELL_CYCLE_G1_S		15	0.2870254	0.66739726	0.9001815	1.0	1.0	4960	tags=47%, list=26%, signal=63%	
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS	KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS		53	0.22353128	0.6595965	0.9535284	1.0	1.0	5585	tags=32%, list=29%, signal=45%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_MET_TO_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_MET_TO_RAS_ERK_SIGNALING_PATHWAY		15	0.2826421	0.65836555	0.9052045	1.0	1.0	3892	tags=33%, list=20%, signal=42%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_FGFR3_TO_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_FGFR3_TO_RAS_ERK_SIGNALING_PATHWAY		16	0.2785247	0.6527445	0.9120459	1.0	1.0	3892	tags=31%, list=20%, signal=39%	
KEGG_MEDICUS_REFERENCE_EGF_ERBB2_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_ERBB2_RAS_ERK_SIGNALING_PATHWAY		16	0.27204296	0.64080954	0.9165121	1.0	1.0	3892	tags=31%, list=20%, signal=39%	
KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY		21	0.24551159	0.62086606	0.9476744	1.0	1.0	4865	tags=33%, list=25%, signal=44%	
KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_ERK_SIGNALING_PATHWAY		15	0.25902623	0.6036762	0.9442308	1.0	1.0	3453	tags=27%, list=18%, signal=32%	
KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY		20	0.24153094	0.60347724	0.96653545	1.0	1.0	5072	tags=45%, list=26%, signal=61%	
KEGG_MEDICUS_REFERENCE_PTH_PTH1R_PKA_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_PTH_PTH1R_PKA_SIGNALING_PATHWAY		15	0.2523247	0.5955069	0.9519231	1.0	1.0	3715	tags=33%, list=19%, signal=41%	
KEGG_MEDICUS_REFERENCE_CRHR_PKA_ACTH_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CRHR_PKA_ACTH_SIGNALING_PATHWAY		27	0.22086039	0.5785696	0.97287524	1.0	1.0	4623	tags=30%, list=24%, signal=39%	
KEGG_MEDICUS_REFERENCE_ACH_CHRN_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ACH_CHRN_RAS_ERK_SIGNALING_PATHWAY		21	0.22653256	0.5754915	0.97597045	1.0	1.0	4260	tags=29%, list=22%, signal=37%	
KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY		26	0.21993275	0.57066876	0.9801444	1.0	1.0	4552	tags=31%, list=23%, signal=40%	
KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER	KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER		18	0.2108661	0.51593	0.9851577	1.0	1.0	4160	tags=28%, list=21%, signal=35%	
KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_PROPHASE	KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_PROPHASE		16	0.21855868	0.51204747	0.9775281	1.0	1.0	2270	tags=13%, list=12%, signal=14%	
KEGG_MEDICUS_REFERENCE_E2_ER_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_E2_ER_RAS_ERK_SIGNALING_PATHWAY		23	0.1938976	0.4915557	0.9924099	1.0	1.0	4260	tags=26%, list=22%, signal=33%	
KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY		15	0.21320687	0.48707804	0.98995984	1.0	1.0	3892	tags=27%, list=20%, signal=33%	
KEGG_MEDICUS_REFERENCE_CONDENSIN_LOADING	KEGG_MEDICUS_REFERENCE_CONDENSIN_LOADING		20	0.1806314	0.44532618	0.9961165	0.9970488	1.0	2270	tags=10%, list=12%, signal=11%	
