NAME	TITLE	SCORE	
KCNMA1	KCNMA1	0.31106395	
FABP4	FABP4	0.31063142	
SGCD	SGCD	0.30949977	
TTR	TTR	0.30695745	
CHRM5	CHRM5	0.30613118	
IL17D	IL17D	0.30525425	
TNFAIP8L3	TNFAIP8L3	0.30367386	
TENM3	TENM3	0.30360195	
MEP1A	MEP1A	0.3031625	
FN1	FN1	0.30122244	
DNASE1L3	DNASE1L3	0.30106696	
CACNA1H	CACNA1H	0.29982305	
HTRA4	HTRA4	0.2997607	
HLA-G	HLA-G	0.29970947	
RARRES2	RARRES2	0.2989669	
SCGB1D2	SCGB1D2	0.29725823	
IFNL3	IFNL3	0.2967581	
KCNMB1	KCNMB1	0.29531464	
CASQ2	CASQ2	0.29331735	
ALDH1B1	ALDH1B1	0.2920994	
FIBIN	FIBIN	0.29124844	
SLC16A9	SLC16A9	0.29082048	
NEFM	NEFM	0.28953305	
CRABP2	CRABP2	0.28923872	
MORN5	MORN5	0.28920627	
PLA2G10	PLA2G10	0.28917938	
IGF2BP3	IGF2BP3	0.28914148	
AOC3	AOC3	0.2881391	
PLAC8	PLAC8	0.28745884	
CKB	CKB	0.28529018	
TSPAN2	TSPAN2	0.28494075	
KLHL23	KLHL23	0.28451344	
3-Sep	3-Sep	0.28441784	
NMU	NMU	0.28379604	
SYNM	SYNM	0.281056	
TM4SF5	TM4SF5	0.27947548	
FAM43B	FAM43B	0.27788416	
CCNE1	CCNE1	0.2768288	
C4BPA	C4BPA	0.27643782	
PIP	PIP	0.27562827	
PCSK1	PCSK1	0.27555647	
CBLN2	CBLN2	0.27354318	
GEM	GEM	0.27235624	
GPR37	GPR37	0.27204275	
ZBTB47	ZBTB47	0.26982772	
TMEM200A	TMEM200A	0.26909402	
LCN6	LCN6	0.2686261	
FIGNL2	FIGNL2	0.26803127	
KRT85	KRT85	0.2678872	
PLN	PLN	0.26749933	
ANKRD29	ANKRD29	0.2663542	
EFCAB1	EFCAB1	0.2660042	
