NAME	TITLE	SCORE	
TPSAB1	TPSAB1	0.23240335	
SPINK1	SPINK1	0.23186912	
PCSK1N	PCSK1N	0.2309536	
REM2	REM2	0.23062228	
ASPSCR1	ASPSCR1	0.23041254	
PRODH	PRODH	0.22972792	
FGF11	FGF11	0.22957377	
SYTL1	SYTL1	0.22948653	
CLEC12A	CLEC12A	0.22913264	
SERPINA1	SERPINA1	0.2270044	
MNDA	MNDA	0.22631457	
MMP15	MMP15	0.22607163	
WNT2	WNT2	0.22483592	
ADH1B	ADH1B	0.22465082	
KISS1R	KISS1R	0.22444807	
SLN	SLN	0.22440393	
NPTX1	NPTX1	0.22434157	
SLC25A18	SLC25A18	0.22432736	
ADAM8	ADAM8	0.223536	
PRKCB	PRKCB	0.22178102	
KRT19	KRT19	0.22175857	
CEACAM3	CEACAM3	0.22158599	
SLC7A3	SLC7A3	0.22096841	
CD300LF	CD300LF	0.22094326	
ASAP3	ASAP3	0.22042067	
TNC	TNC	0.22037238	
HP	HP	0.22018018	
PPFIBP2	PPFIBP2	0.21977988	
MGAT4A	MGAT4A	0.2197282	
PSG11	PSG11	0.21950494	
CLEC5A	CLEC5A	0.21937376	
LRG1	LRG1	0.21921828	
KAZALD1	KAZALD1	0.21789949	
CD48	CD48	0.21766388	
FOSB	FOSB	0.21724534	
EPHB1	EPHB1	0.21692404	
COL16A1	COL16A1	0.21691203	
NCF2	NCF2	0.21683587	
LOC400743	LOC400743	0.21677615	
FAM83E	FAM83E	0.21508263	
UNC5A	UNC5A	0.21503371	
TSPAN13	TSPAN13	0.21428366	
KLRB1	KLRB1	0.21367323	
FPR2	FPR2	0.21284403	
FHOD3	FHOD3	0.21279927	
GZMK	GZMK	0.21200211	
SERINC2	SERINC2	0.21196361	
LAMA3	LAMA3	0.21195236	
EGR1	EGR1	0.21184856	
PSG5	PSG5	0.21083787	
ADAM12	ADAM12	0.21029887	
C8orf31	C8orf31	0.2102787	
EPHB2	EPHB2	0.20908742	
RAB40A	RAB40A	0.20724194	
MMP26	MMP26	0.20674334	
QSOX1	QSOX1	0.20643234	
PAPPA2	PAPPA2	0.20518957	
S1PR5	S1PR5	0.20382701	
PCSK1	PCSK1	0.20341268	
SLC22A15	SLC22A15	0.20238565	
SNCA	SNCA	0.201651	
CD72	CD72	0.20134959	
LYPD6B	LYPD6B	0.20125265	
DGCR5	DGCR5	0.20124735	
ARID3A	ARID3A	0.20110676	
MBP	MBP	0.19898735	
CD19	CD19	0.1988626	
TEX29	TEX29	0.19862355	
PDCD1LG2	PDCD1LG2	0.19811639	
SIGLEC5	SIGLEC5	0.19809188	
CH25H	CH25H	0.19791017	
INS-IGF2	INS-IGF2	0.19781518	
SLC2A3	SLC2A3	0.19781056	
TLE3	TLE3	0.19751516	
PLOD2	PLOD2	0.19703633	
TMC4	TMC4	0.19672884	
LOC100506530	LOC100506530	0.19653523	
SST	SST	0.1964356	
PSG4	PSG4	0.19624749	
PTGS1	PTGS1	0.19517687	
NKX3-1	NKX3-1	0.19505519	
DSC2	DSC2	0.19499911	
AQP10	AQP10	0.1948475	
IL6	IL6	0.19431432	
GPR146	GPR146	0.19430362	
GPR78	GPR78	0.19399337	
CECR6	CECR6	0.19358379	
KCNE4	KCNE4	0.19308	
GDF15	GDF15	0.19299135	
GRAP2	GRAP2	0.19292799	
APOBEC3A	APOBEC3A	0.19283104	
FIBIN	FIBIN	0.19247194	
EXTL3	EXTL3	0.1922934	
DPYSL4	DPYSL4	0.19219571	
AMOT	AMOT	0.1918986	
MYL4	MYL4	0.19144665	
MT3	MT3	0.19052418	
HCAR2	HCAR2	0.19043857	
MAP3K7CL	MAP3K7CL	0.19023393	
TFAP2A	TFAP2A	0.18994337	
OVOL2	OVOL2	0.18981524	
ALOX5AP	ALOX5AP	0.18979008	
FOLR1	FOLR1	0.18972914	
NUAK2	NUAK2	0.18971412	
CPE	CPE	0.18908076	
LINC00890	LINC00890	0.18907285	
HBD	HBD	0.18892238	
NLRP7	NLRP7	0.1888377	
S100A8	S100A8	0.18882275	
MYO1F	MYO1F	0.18832254	
GPR37	GPR37	0.18808393	
S100A9	S100A9	0.1873238	
CXCL9	CXCL9	0.18728872	
LBP	LBP	0.18701395	
MFAP2	MFAP2	0.18655439	
CYP4F3	CYP4F3	0.18652816	
TLR8	TLR8	0.18648694	
UNC13D	UNC13D	0.18636405	
C4BPB	C4BPB	0.18621464	
SH2D3A	SH2D3A	0.18539982	
VNN2	VNN2	0.1846403	
NAV2	NAV2	0.18454415	
IGSF3	IGSF3	0.18444419	
GPRC5A	GPRC5A	0.18405485	
MMP7	MMP7	0.18375647	
JCHAIN	JCHAIN	0.18346624	
PGLYRP1	PGLYRP1	0.18340753	
RARRES2	RARRES2	0.18316379	
FCMR	FCMR	0.18302794	
GLIPR1	GLIPR1	0.18255594	
RGS4	RGS4	0.1823855	
CLEC11A	CLEC11A	0.18237521	
NMU	NMU	0.18184748	
GRHL2	GRHL2	0.18104236	
CELSR3	CELSR3	0.18091138	
VSTM2L	VSTM2L	0.18090479	
HAS3	HAS3	0.18074274	
F11R	F11R	0.18070328	
SIGLEC10	SIGLEC10	0.18054728	
TCEA3	TCEA3	0.18054666	
CNN1	CNN1	0.18045957	
ENDOG	ENDOG	0.18045372	
LILRA5	LILRA5	0.18042822	
BZW2	BZW2	0.18033153	
VLDLR	VLDLR	0.18026292	
HCG4	HCG4	0.18001957	
CREB5	CREB5	0.17958677	
CA12	CA12	0.17929922	
EPB42	EPB42	0.17890386	
ANGPTL2	ANGPTL2	0.17868277	
PDK3	PDK3	0.17846644	
NKAIN4	NKAIN4	0.17817402	
CSRP2	CSRP2	0.17797834	
HBQ1	HBQ1	0.177914	
APOBR	APOBR	0.17775315	
LY6D	LY6D	0.17749839	
SCGB1D4	SCGB1D4	0.17680828	
BIN2	BIN2	0.1767957	
ACTA1	ACTA1	0.17673165	
HCK	HCK	0.1764582	
SPIN4	SPIN4	0.17638117	
SUN3	SUN3	0.17631875	
CBL	CBL	0.1762715	
PPARG	PPARG	0.17623086	
RAC3	RAC3	0.17616725	
ART4	ART4	0.17609367	
CXCL5	CXCL5	0.17603736	
MXD1	MXD1	0.17599723	
P2RY13	P2RY13	0.1754368	
PVALB	PVALB	0.17502147	
PREX1	PREX1	0.17478676	
FMO2	FMO2	0.17467344	
RNASE2	RNASE2	0.17416474	
NES	NES	0.17411688	
GAPT	GAPT	0.17367308	
NPTX2	NPTX2	0.17361149	
SLC39A8	SLC39A8	0.17358465	
TMEM119	TMEM119	0.17348541	
CKB	CKB	0.17339027	
ST3GAL6	ST3GAL6	0.17337713	
C3orf36	C3orf36	0.17337708	
SLAMF6	SLAMF6	0.17333463	
KIF3C	KIF3C	0.17331144	
NEXN	NEXN	0.1727441	
CTRB2	CTRB2	0.172725	
ALAS2	ALAS2	0.17229725	
MRGPRF	MRGPRF	0.17218833	
LRRC45	LRRC45	0.17218316	
UBQLN3	UBQLN3	0.17177309	
KLC3	KLC3	0.17164648	
STC1	STC1	0.17150684	
NOD2	NOD2	0.17130977	
CXCL12	CXCL12	0.1712064	
FHL5	FHL5	0.17018759	
IL7R	IL7R	0.17015152	
PLEK2	PLEK2	0.1694283	
ARHGAP15	ARHGAP15	0.16916658	
SH3RF1	SH3RF1	0.16895951	
PTH1R	PTH1R	0.16872713	
AXIN2	AXIN2	0.1682116	
DPYSL3	DPYSL3	0.16820404	
RNASE6	RNASE6	0.16816686	
N4BP3	N4BP3	0.16792867	
SLCO2A1	SLCO2A1	0.16775045	
SLC1A3	SLC1A3	0.16757828	
THBS1	THBS1	0.16753261	
OSCAR	OSCAR	0.16739105	
MICALCL	MICALCL	0.16733375	
SPP1	SPP1	0.1673024	
PDE6H	PDE6H	0.16696548	
SSH2	SSH2	0.16693357	
LST1	LST1	0.16690494	
EFNB1	EFNB1	0.16674425	
STAT4	STAT4	0.16672193	
MARCO	MARCO	0.16660306	
SIRPB1	SIRPB1	0.16660298	
CFP	CFP	0.16626194	
TMEM74B	TMEM74B	0.16591834	
GPR1	GPR1	0.1655855	
GFOD1	GFOD1	0.16520628	
SLC29A3	SLC29A3	0.16505611	
CAMK1G	CAMK1G	0.16482061	
MT1H	MT1H	0.16476926	
FCGR1B	FCGR1B	0.16460833	
BATF	BATF	0.16455868	
CAMK2N1	CAMK2N1	0.16398384	
PODN	PODN	0.1638979	
FCRLA	FCRLA	0.16387631	
GALNT6	GALNT6	0.16320872	
FAM129A	FAM129A	0.16254935	
MRVI1	MRVI1	0.1622621	
SAMSN1	SAMSN1	0.16202293	
ZNF215	ZNF215	0.16164735	
TPM1	TPM1	0.1615647	
PIM2	PIM2	0.1615223	
IL27RA	IL27RA	0.16122112	
CPVL	CPVL	0.16114095	
FOLR3	FOLR3	0.16111617	
ADGRG7	ADGRG7	0.16098596	
MAGEA10	MAGEA10	0.16050637	
PELI2	PELI2	0.16040386	
MT1G	MT1G	0.16039313	
PSTPIP2	PSTPIP2	0.16034034	
TRIL	TRIL	0.15957877	
BGN	BGN	0.15949541	
CD37	CD37	0.15948807	
VAT1L	VAT1L	0.15921459	
STXBP2	STXBP2	0.15912355	
LIFR	LIFR	0.15902539	
NUAK1	NUAK1	0.15897572	
XK	XK	0.15879571	
BANK1	BANK1	0.15862878	
PTCRA	PTCRA	0.15842639	
YPEL3	YPEL3	0.15838078	
RTN4R	RTN4R	0.157964	
SLC22A16	SLC22A16	0.15750772	
RHPN2	RHPN2	0.15744449	
SLC16A6	SLC16A6	0.15733711	
LGALS14	LGALS14	0.15713865	
PYCR1	PYCR1	0.15689266	
C5orf30	C5orf30	0.15684381	
CCDC81	CCDC81	0.1564553	
TRIM64	TRIM64	0.15624017	
CDH13	CDH13	0.15616827	
SERPINA13P	SERPINA13P	0.15595485	
TRAF3IP3	TRAF3IP3	0.15594022	
DLX3	DLX3	0.1557527	
PRR5L	PRR5L	0.1556361	
P2RX1	P2RX1	0.15561415	
STMN2	STMN2	0.15558001	
LMNB1	LMNB1	0.154752	
CKM	CKM	0.15473191	
THBS2	THBS2	0.15472764	
ITPRIP	ITPRIP	0.15467863	
GPAT3	GPAT3	0.15465352	
FAT1	FAT1	0.15457721	
GALNT12	GALNT12	0.15457238	
TGFB2	TGFB2	0.15425794	
SKP2	SKP2	0.15419324	
ORM1	ORM1	0.15418807	
PYHIN1	PYHIN1	0.15410255	
TIAM1	TIAM1	0.15406618	
ROR1	ROR1	0.15403605	
ZP4	ZP4	0.15379398	
FAM26F	FAM26F	0.15352045	
SKAP2	SKAP2	0.15323566	
PF4V1	PF4V1	0.15309691	
C5AR1	C5AR1	0.15308693	
CCDC146	CCDC146	0.1527933	
RASGRP1	RASGRP1	0.15258431	
DLK2	DLK2	0.15222804	
LOX	LOX	0.15114012	
CTSS	CTSS	0.1510508	
MTURN	MTURN	0.15088955	
IGF1	IGF1	0.15075931	
VTCN1	VTCN1	0.15045552	
BRINP1	BRINP1	0.15025371	
DDX43	DDX43	0.15010273	
MEFV	MEFV	0.14998098	
HS3ST2	HS3ST2	0.14973435	
AOC3	AOC3	0.1496686	
TREML1	TREML1	0.1495851	
CHMP4C	CHMP4C	0.14936724	
PDIA5	PDIA5	0.14907527	
KCNMB1	KCNMB1	0.14879808	
PTGS2	PTGS2	0.1487922	
WISP1	WISP1	0.14859283	
NRCAM	NRCAM	0.14849621	
CD33	CD33	0.14823104	
BDKRB1	BDKRB1	0.14815038	
NCF1B	NCF1B	0.14807686	
NT5DC2	NT5DC2	0.14780478	
EMCN	EMCN	0.14761108	
KCNJ15	KCNJ15	0.1474565	
HSPG2	HSPG2	0.14745347	
MEX3D	MEX3D	0.14741051	
EEF1A2	EEF1A2	0.1473461	
DMTN	DMTN	0.14715958	
VENTX	VENTX	0.14702262	
PSTPIP1	PSTPIP1	0.14685868	
SH2D1B	SH2D1B	0.14651625	
RGL4	RGL4	0.14632869	
CLEC1A	CLEC1A	0.14625227	
CCNYL1	CCNYL1	0.14624839	
ANKRD24	ANKRD24	0.14607939	
ALDH3B2	ALDH3B2	0.14602286	
LRRC32	LRRC32	0.14598034	
OXTR	OXTR	0.14585112	
KBTBD11	KBTBD11	0.14584406	
SULT1B1	SULT1B1	0.14576142	
OLFML2A	OLFML2A	0.14564501	
PDE1A	PDE1A	0.14547706	
GMIP	GMIP	0.14533164	
HSF2BP	HSF2BP	0.14525609	
PHOSPHO1	PHOSPHO1	0.14513403	
NUDT11	NUDT11	0.14493114	
CA1	CA1	0.14484648	
